,ID,Age,Gender,Marrige,Education,Bank_Credit_Condition,Housing_Condition,Old_Client,Current_Job_Working_Years,Loan_Amount,Loan_Purpose,Loan_Period,Monthly_Interest_Rate,Breach_Monthly_Interest_Rate,Other_Loan,Collateral,Way_of_Mortgage,Full_Value,Client_Category,Loan_Time
0,911001,27,女,已婚,高中,无,自有,否,120,100000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2009-11-16
1,911002,49,男,已婚,小学,无,自有,否,132,500000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2009-12-03
2,911003,61,男,已婚,大专,无,自有,否,240,300000,购房,1,0.0144,0.01872,无,有,抵押,是,无逾期,2009-12-07
3,912001,26,女,已婚,高中,无,自有,否,36,180000,经营,12,0.015,0.0195,无,有,抵押,是,逾期,2009-12-01
4,912001,26,男,未婚,高中,有违约,租房,否,36,50000,经营,6,0.015,0.0195,无,无,担保,否,逾期,2009-12-10
5,912002,24,男,已婚,初中,无,自有,否,24,100000,经营,12,0.015,0.0195,车贷,有,抵押,是,无逾期,2009-12-10
6,912003,23,女,已婚,高中,无,自有,否,24,30000,经营,12,0.0153,0.01989,房贷,无,担保,否,无逾期,2009-12-04
7,912005,52,男,已婚,小学,无,自有,否,36,50000,经营,3,0.0144,0.01872,无,有,抵押,是,无逾期,2009-12-11
8,912006,58,男,已婚,小学,无,自有,否,144,1000000,经营,3,0.0144,0.01872,无,有,抵押,是,无逾期,2009-12-17
9,912007,31,男,已婚,高中,无,自有,否,1,500000,经营,5,0.0147,0.01911,无,有,抵押,否,无逾期,2009-12-30
10,912010,47,男,已婚,小学,无,自有,否,12,200000,经营,9,0.0153,0.01989,信用社贷款,有,抵押,是,无逾期,2009-12-30
11,912011,27,女,已婚,高中,无,自有,否,6,60000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2009-12-30
12,1001001,41,男,已婚,初中,无,自有,否,72,1000000,经营,6,0.0147,0.01911,信用社贷款,有,抵押,是,无逾期,2010-01-14
13,1001002,27,男,已婚,本科及以上,无,自有,否,48,30000,房屋装修,6,0.0147,0.01911,房贷,有,抵押,是,无逾期,2010-01-21
14,1001003,34,男,已婚,大专,无,自有,否,96,50000,房屋装修,12,0.015,0.0195,房贷,有,抵押,是,无逾期,2010-01-26
15,1001004,40,男,已婚,初中,无,自有,否,4,30000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-01-25
16,1001006,40,男,已婚,初中,无,自有,否,60,150000,经营,6,0.0147,0.01911,无,有,抵押,是,无逾期,2010-01-29
17,1002001,29,男,已婚,初中,无,自有,否,120,500000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-01-25
18,1002002,52,男,已婚,初中,无,自有,否,240,40000,经营,12,0.0153,0.01989,无,无,担保,否,无逾期,2010-02-03
19,1002003,28,男,未婚,高中,逾期1次以上（6次）,自有,否,12,90000,经营,6,0.0147,0.01911,无,有,抵押,是,无逾期,2010-02-02
20,1002004,47,男,已婚,小学,无,自有,否,96,4000000,房地产开发,6,0.0147,0.01911,估计有,有,抵押,是,无逾期,2010-02-04
21,1002005,53,男,已婚,初中,无,自有,否,72,1200000,经营,12,0.015,0.0195,估计有,有,抵押,是,无逾期,2010-02-03
22,1002006,43,男,已婚,小学,无,自有,否,120,400000,生猪养殖,12,0.015,0.0195,无,有,抵押,否,逾期,2010-02-04
23,1002007,35,男,已婚,高中,无,自有,否,24,150000,网吧装修,12,0.0153,0.01989,房贷,无,担保,是,无逾期,2010-02-05
24,1002008,42,男,已婚,初中,无,自有,否,120,300000,经营,12,0.0153,0.01989,银行贷款,有,抵押,是,无逾期,2010-02-05
25,1002010,45,男,已婚,小学,无,自有,否,36,30000,养殖经营,6,0.015,0.0195,无,有,抵押,是,无逾期,2010-02-10
26,1002012,61,男,已婚,初中,无,自有,否,120,400000,经营,3,0.0144,0.01872,银行贷款,有,抵押,是,无逾期,2010-02-11
27,1002013,54,女,已婚,高中,无,自有,否,300,150000,购房,12,0.0153,0.01989,无,无,担保,否,无逾期,2010-02-10
28,1002014,40,男,已婚,初中,无,自有,否,24,100000,购买材料,12,0.0153,0.01989,无,无,担保,否,逾期,2010-02-11
29,1002028,40,男,已婚,高中,无,自有,否,72,150000,养殖经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-02-09
30,1003001,31,男,已婚,初中,无,自有,否,36,200000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-03-21
31,1003002,41,男,已婚,初中,无,自有,否,84,100000,房屋装修,12,0.0153,0.01989,无,无,担保,否,无逾期,2010-03-05
32,1003003,29,女,未婚,高中,无,自有,否,24,500000,网吧装修,12,0.0153,0.01989,无,有,抵押,是,无逾期,2010-03-11
33,1003005,56,男,已婚,初中,无,自有,否,1,500000,经营,3,0.0144,0.01872,有,有,抵押,是,无逾期,2010-03-17
34,1003010,42,男,已婚,初中,无,自有,否,120,200000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-03-16
35,1003011,50,男,已婚,小学,有违约,自有,否,60,19000,经营,12,0.015,0.0195,无,无,担保,否,逾期,2010-03-16
36,1003012,26,男,已婚,小学,无,自有,否,60,20000,购房,12,0.0153,0.01989,无,无,担保,否,无逾期,2010-03-25
37,1003013,40,女,已婚,高中,无,自有,否,24,100000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-04-09
38,1003014,48,男,已婚,初中,无,自有,否,240,70000,经营,12,0.0153,0.01989,无,无,担保,否,无逾期,2010-03-25
39,1003015,40,男,已婚,初中,无,自有,否,120,150000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-03-31
40,1003016,53,男,已婚,小学,无,自有,是,48,100000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-03-31
41,1004001,40,男,已婚,高中,无,自有,否,72,200000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-04-08
42,1004002,31,男,已婚,高中,无,自有,否,24,100000,经营,12,0.0153,0.01989,无,无,担保,否,无逾期,2010-04-19
43,1004004,60,女,已婚,小学,无,自有,否,60,1000000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-04-27
44,1004005,31,男,已婚,大专,无,自有,否,60,1200000,购房,6,0.0147,0.01911,无,有,抵押,是,无逾期,2010-04-29
45,1004006,42,男,离异,大专,无,自有,否,12,500000,经营,12,0.0153,0.01989,无,无,担保,否,逾期,2010-04-23
46,1004007,52,男,已婚,初中,无,自有,否,6,2000000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-04-30
47,1004008,38,女,已婚,高中,无,自有,否,192,200000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-04-26
48,1004009,38,女,已婚,高中,无,自有,否,192,200000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-04-26
49,1004010,36,男,已婚,初中,无,自有,否,36,600000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-04-27
50,1004011,33,男,已婚,大专,无,自有,否,24,500000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-04-29
51,1005001,32,女,已婚,高中,无,自有,否,24,100000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-05-12
52,1005002,33,男,已婚,初中,无,自有,是,24,100000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-05-19
53,1005003,50,男,已婚,小学,无,自有,是,144,200000,经营,4,0.0147,0.01911,无,有,抵押,是,无逾期,2010-05-21
